frame_idx,t_sec,paper_ratio,bright_mean,sat_mean,blur,edge_density,motion,skin,bottom_dark,composite,selected
0,0.000,0.7364,205.19,34.85,1527.04,0.1921,0.00000,0.19424,0.5700,2.9126,1
15,0.500,0.7585,202.68,35.66,534.96,0.1547,0.08139,0.12131,0.6141,1.6350,1
30,1.000,0.7125,197.19,39.69,1988.95,0.2452,0.10413,0.17844,0.6858,1.8500,1
45,1.500,0.7206,198.99,39.51,5076.92,0.2986,0.14737,0.20346,0.5717,1.8500,1
60,2.000,0.7359,202.05,37.93,7097.95,0.3033,0.11585,0.20111,0.5235,1.8500,1
75,2.500,0.8317,226.22,26.86,5837.30,0.3040,0.22481,0.34994,0.1842,1.8500,1
90,3.000,0.7513,219.16,34.08,5122.79,0.3197,0.15854,0.41351,0.2544,1.8500,1
105,3.500,0.7285,204.42,41.46,762.11,0.2367,0.23569,0.40548,0.4408,1.8500,1
120,4.000,0.8110,214.64,21.53,86.20,0.0353,0.15776,0.19163,0.4951,0.5840,0
135,4.500,0.8196,220.10,25.60,87.21,0.0454,0.04041,0.31115,0.4327,0.6363,0
150,5.000,0.8010,215.48,30.07,110.30,0.0549,0.03164,0.35691,0.4958,1.0094,0
165,5.500,0.7883,215.03,26.84,100.74,0.0476,0.01888,0.20807,0.5002,1.2851,0
180,6.000,0.8138,212.31,25.17,91.04,0.0413,0.04432,0.03416,0.5475,1.0266,0
195,6.500,0.7879,209.00,28.71,835.50,0.0937,0.03958,0.05504,0.6107,1.6545,1
210,7.000,0.7763,205.95,25.15,787.22,0.1067,0.03760,0.06051,0.6480,1.7454,1
225,7.500,0.7816,207.84,22.92,1668.69,0.1015,0.02899,0.06055,0.6316,1.9571,1
240,8.000,0.7875,209.14,23.09,1605.09,0.1035,0.02227,0.06209,0.6069,2.1446,1
255,8.500,0.7866,208.51,24.21,1601.14,0.1100,0.01224,0.06501,0.6095,2.4379,1
270,9.000,0.7533,222.66,31.30,912.62,0.2520,0.14464,0.37653,0.2839,1.8500,1
285,9.500,0.7224,216.55,36.40,117.69,0.1869,0.13175,0.37756,0.3368,1.4380,1
300,10.000,0.8423,225.27,28.21,305.71,0.1495,0.15963,0.52084,0.3054,1.6099,0
315,10.500,0.8535,225.29,22.91,384.92,0.0727,0.10163,0.45360,0.2145,1.2454,0
330,11.000,0.8062,216.21,29.85,375.40,0.1628,0.10837,0.41234,0.3761,1.6731,1
345,11.500,0.7809,213.72,32.26,2496.61,0.2052,0.09260,0.33405,0.4225,1.8500,1
360,12.000,0.7818,213.49,32.60,3031.15,0.2049,0.03517,0.33879,0.4314,1.9829,1
375,12.500,0.7824,213.48,32.22,2983.05,0.2078,0.02829,0.33381,0.4269,2.1719,1
390,13.000,0.7943,231.52,36.85,2414.25,0.2203,0.14532,0.56379,0.1746,1.8500,1
405,13.500,0.6783,226.26,43.22,1843.90,0.2447,0.10540,0.55314,0.1907,1.8500,1
420,14.000,0.8509,223.36,24.54,96.73,0.0972,0.17226,0.43453,0.3318,0.9227,0
435,14.500,0.8307,223.16,28.87,119.09,0.0747,0.07566,0.60222,0.2997,0.9108,0
450,15.000,0.8065,222.09,23.90,1250.01,0.1302,0.06990,0.32380,0.3017,1.5186,0
465,15.500,0.8115,219.31,22.09,2011.20,0.1448,0.03611,0.25338,0.2936,1.6949,0
480,16.000,0.8205,220.11,22.01,1285.38,0.1273,0.04600,0.22982,0.3291,1.5049,1
495,16.500,0.8165,218.61,21.96,1858.34,0.1298,0.03179,0.20601,0.3548,1.7425,1
510,17.000,0.8140,219.03,21.98,272.72,0.0929,0.01934,0.19138,0.3666,1.9092,1
525,17.500,0.8299,218.00,22.22,82.35,0.0413,0.07598,0.02337,0.4454,1.0392,0
540,18.000,0.8129,215.04,25.01,994.60,0.0920,0.05198,0.04506,0.5057,1.6806,0
555,18.500,0.8123,217.07,24.14,958.87,0.0941,0.04628,0.06137,0.4485,1.6157,1
570,19.000,0.8194,219.08,23.19,1170.81,0.0956,0.03313,0.06358,0.4098,1.8018,1
