frame_idx,t_sec,page_found,area,fill,contact,stability,blur,text,hand,hand_text_overlap,edge_fg,bottom_hand,turn,edge_motion,raw_score,norm_score,peak_score
0,0.000,1,0.9613,0.9972,1.0109,0.5000,167.11,0.04437,0.12649,0.81895,0.39617,1.00000,0.48874,0.00000,5.02908,0.98758,0.67653
15,0.500,1,0.6958,0.8675,0.8853,0.0000,362.97,0.06505,0.19580,1.00000,0.30776,1.00000,0.60199,0.61694,-0.80894,0.00000,0.07550
30,1.000,1,0.7418,0.8107,0.9725,0.0810,207.00,0.03534,0.15033,0.69061,0.33703,1.00000,0.41790,0.86639,2.06220,0.30534,-0.09339
45,1.500,1,0.8036,0.8318,1.0120,0.0551,716.05,0.06182,0.37898,1.00000,0.31527,1.00000,0.55971,0.66495,0.78067,0.01065,-0.22000
60,2.000,1,0.7186,0.9200,0.8688,0.3672,258.47,0.04630,0.33191,1.00000,0.26381,1.00000,0.52835,0.36320,-0.79642,0.00000,0.07246
75,2.500,1,0.7156,0.9221,0.8646,0.8008,944.64,0.08270,0.32407,1.00000,0.22288,1.00000,0.69427,0.30500,2.53360,0.41373,0.28859
90,3.000,1,0.7103,0.9083,0.8693,0.8969,1014.65,0.08310,0.32088,1.00000,0.21246,1.00000,0.70354,0.18734,3.17172,0.56047,0.36124
105,3.500,1,0.7147,0.9186,0.8663,0.9299,971.98,0.08166,0.31942,1.00000,0.21271,1.00000,0.72179,0.27991,2.80508,0.47616,0.33606
120,4.000,1,0.6967,0.9339,0.8415,0.8982,185.65,0.04103,0.32887,1.00000,0.26184,1.00000,0.46899,0.20254,0.54919,0.00000,0.09864
135,4.500,1,0.6993,0.9375,0.8416,0.8544,746.65,0.07604,0.31063,1.00000,0.21629,1.00000,0.69482,0.33483,2.04317,0.30096,0.27356
150,5.000,1,0.7332,0.7775,0.9941,0.0000,966.71,0.07934,0.17461,1.00000,0.27969,1.00000,0.61583,0.53959,2.55574,0.41883,-0.01434
165,5.500,1,0.7217,0.7549,1.0042,0.8631,1067.13,0.08013,0.09250,0.65930,0.26345,1.00000,0.62246,0.32262,7.21572,1.00000,0.27510
180,6.000,1,0.7279,0.7527,1.0127,0.9333,896.02,0.07547,0.09387,0.63043,0.26215,1.00000,0.60703,0.27923,7.24343,1.00000,0.26222
195,6.500,1,0.7219,0.7551,1.0040,0.8159,598.49,0.06879,0.10052,0.69918,0.31120,1.00000,0.52564,0.41330,5.29923,1.00000,0.32138
210,7.000,1,0.8149,0.8383,1.0167,0.3051,434.98,0.06417,0.35682,1.00000,0.28974,1.00000,0.55856,0.60170,1.00227,0.06160,-0.00301
225,7.500,1,0.7326,0.9332,0.8719,0.3032,988.74,0.08208,0.27991,1.00000,0.19103,1.00000,0.70657,0.48469,2.48367,0.40225,0.35208
240,8.000,1,0.7452,0.9397,0.8783,0.9352,1042.91,0.08008,0.24962,1.00000,0.19447,1.00000,0.73453,0.27951,4.31302,0.82292,0.53637
255,8.500,1,0.7796,0.9969,0.8697,0.6895,975.85,0.08284,0.27815,1.00000,0.29441,1.00000,0.77207,0.55618,2.50337,0.40678,0.32587
270,9.000,1,0.7856,0.9970,0.8744,0.8848,1098.58,0.08384,0.28557,1.00000,0.31144,1.00000,0.80010,0.41581,3.09280,0.54232,0.38997
285,9.500,1,0.8130,0.9293,1.0405,0.7002,467.47,0.05115,0.34901,1.00000,0.34290,1.00000,0.66752,0.56825,0.78831,0.01240,0.11629
300,10.000,1,0.7321,0.9186,0.8810,0.5213,960.48,0.08290,0.28215,1.00000,0.19350,1.00000,0.75975,0.57423,2.20819,0.33891,0.28885
315,10.500,1,0.7281,0.9228,0.8748,0.8933,1006.13,0.08272,0.27387,1.00000,0.20111,1.00000,0.76596,0.23022,3.60454,0.66000,0.42794
330,11.000,1,0.7776,0.9969,0.8682,0.7204,825.46,0.08127,0.26325,1.00000,0.24134,1.00000,0.78138,0.34240,3.24442,0.57719,0.42800
345,11.500,1,0.7846,0.9970,0.8951,0.5910,610.60,0.07191,0.28402,1.00000,0.29700,1.00000,0.82477,0.43903,1.45107,0.16480,0.20310
360,12.000,1,0.8167,0.9378,1.0331,0.6817,1120.65,0.08333,0.28834,1.00000,0.30529,1.00000,0.78601,0.37643,3.99385,0.74952,0.46521
375,12.500,1,0.9972,0.9972,1.0388,0.0000,129.23,0.04263,0.30832,1.00000,0.34411,1.00000,0.47337,0.82808,0.47002,0.00000,0.10531
390,13.000,1,0.7302,0.9231,0.8763,0.0000,817.28,0.07307,0.24365,1.00000,0.20918,1.00000,0.67779,0.93387,1.29842,0.12970,0.19129
405,13.500,1,0.8120,0.8593,0.9957,0.3921,808.63,0.07716,0.28863,1.00000,0.22234,1.00000,0.57042,0.29504,4.34907,0.83121,0.36160
420,14.000,1,0.7322,0.9304,0.8733,0.4599,931.43,0.07519,0.26232,1.00000,0.20547,1.00000,0.70988,0.19005,3.09519,0.54287,0.39867
435,14.500,1,0.7272,0.9323,0.8678,0.9006,776.09,0.07227,0.27091,1.00000,0.21463,1.00000,0.69254,0.32331,2.68412,0.44835,0.36207
450,15.000,1,0.7876,0.9970,0.8760,0.6686,685.93,0.07323,0.28658,1.00000,0.28131,1.00000,0.69471,0.50062,2.13064,0.32107,0.30802
465,15.500,1,0.7826,0.9969,0.8729,0.9366,921.28,0.07622,0.33422,1.00000,0.29819,1.00000,0.77455,0.51152,2.11879,0.31835,0.29098
480,16.000,1,0.7626,0.9969,0.8629,0.8831,506.88,0.05034,0.14872,0.65654,0.35607,1.00000,0.48706,0.27026,5.46287,1.00000,0.64663
495,16.500,1,0.7394,0.9220,0.8849,0.6861,535.85,0.07108,0.27374,1.00000,0.19464,1.00000,0.63054,0.53843,1.88143,0.26377,0.30413
510,17.000,1,0.7327,0.9204,0.8802,0.9557,927.72,0.07999,0.27853,1.00000,0.19544,1.00000,0.70735,0.17425,3.87379,0.72191,0.55536
525,17.500,1,0.7356,0.9265,0.8787,0.9251,1017.34,0.08172,0.28082,1.00000,0.19621,1.00000,0.73206,0.17222,4.06903,0.76681,0.56302
540,18.000,1,0.7317,0.9250,0.8763,0.9457,980.76,0.08103,0.27702,1.00000,0.20239,1.00000,0.72108,0.20290,3.86275,0.71938,0.56303
555,18.500,1,0.7305,0.9282,0.8732,0.9812,927.86,0.08070,0.26610,1.00000,0.18980,1.00000,0.71749,0.09635,3.94085,0.73734,0.56995
570,19.000,1,0.7319,0.9289,0.8740,0.9107,956.31,0.08049,0.28482,1.00000,0.19415,1.00000,0.71593,0.23189,3.71575,0.68557,0.53955
