frame_idx,t_sec,paper_ratio,bright_mean,sat_mean,blur,edge_density,motion,skin,bottom_dark,composite,selected
0,0.000,0.9038,224.39,13.15,2402.64,0.2215,0.00000,0.12374,0.2068,2.9500,1
15,0.500,0.8962,222.57,13.74,3275.40,0.2364,0.06415,0.10744,0.2392,1.9076,1
30,1.000,0.8603,221.76,17.00,4389.43,0.2629,0.06064,0.16119,0.2253,1.8500,1
45,1.501,0.8260,220.67,21.29,3965.82,0.2646,0.06842,0.20704,0.2115,1.8500,1
60,2.001,0.8296,221.10,22.15,3004.50,0.2338,0.05375,0.27482,0.2220,1.8500,0
75,2.501,0.7171,223.90,33.57,2352.43,0.2582,0.11457,0.40826,0.1417,1.8500,1
90,3.001,0.8295,213.79,19.46,3494.35,0.2643,0.11088,0.13565,0.3513,1.8500,1
105,3.501,0.8465,217.52,17.76,4004.52,0.2661,0.05572,0.11333,0.3351,1.8806,1
120,4.002,0.8491,218.40,16.83,4001.35,0.2650,0.02404,0.10523,0.3317,2.3565,1
135,4.502,0.8117,220.91,22.30,3921.11,0.2943,0.05231,0.18148,0.2629,1.8500,1
150,5.002,0.7936,219.16,23.71,3000.08,0.2802,0.06026,0.20952,0.2460,1.8500,1
165,5.502,0.8126,235.16,22.24,746.51,0.1459,0.09539,0.25860,0.1074,1.5932,0
180,6.002,0.8187,211.97,20.61,5017.98,0.2863,0.11432,0.19135,0.3603,1.8500,1
195,6.503,0.8335,215.07,18.25,5335.34,0.2934,0.05687,0.13516,0.3599,1.8500,1
210,7.003,0.8362,216.03,17.97,5333.39,0.2869,0.03584,0.13076,0.3522,1.9644,1
225,7.503,0.7985,221.55,23.29,5068.10,0.3188,0.06357,0.23610,0.2400,1.8500,1
240,8.003,0.7597,217.76,27.22,4870.89,0.3147,0.07954,0.26339,0.2333,1.8500,1
255,8.503,0.7587,217.37,28.66,3600.79,0.2706,0.08418,0.28223,0.2906,1.8500,0
270,9.004,0.8102,211.95,19.74,2590.04,0.2383,0.08026,0.14511,0.3955,1.8500,0
285,9.504,0.8267,214.72,18.01,3716.89,0.2510,0.05327,0.13026,0.3833,1.8500,0
300,10.004,0.8351,216.64,17.49,3426.69,0.2486,0.04372,0.13349,0.3607,1.8500,0
315,10.504,0.8305,217.50,18.87,3631.99,0.2689,0.05795,0.14629,0.3778,1.8500,0
330,11.005,0.7522,219.09,28.64,4271.90,0.2936,0.07720,0.24849,0.3030,1.8500,0
345,11.505,0.7648,217.87,24.62,2833.08,0.2312,0.05881,0.21620,0.3262,1.8500,0
360,12.005,0.8166,212.40,19.48,3494.69,0.2529,0.08578,0.14607,0.3656,1.8500,1
375,12.505,0.8462,217.69,17.19,3430.26,0.2545,0.07463,0.12172,0.3345,1.8500,1
390,13.005,0.8473,218.12,16.61,3321.12,0.2522,0.03624,0.12012,0.3209,1.9535,1
405,13.506,0.7732,221.09,26.11,3098.57,0.2871,0.07965,0.27174,0.2272,1.8500,1
420,14.006,0.7565,216.18,27.24,4024.64,0.2926,0.06193,0.28103,0.2698,1.8500,1
435,14.506,0.7187,205.82,43.42,2691.91,0.2782,0.10226,0.54740,0.3573,1.8500,0
450,15.006,0.8298,213.02,19.08,2709.33,0.2539,0.12768,0.20418,0.3305,1.8500,0
465,15.506,0.8348,213.60,17.47,3929.20,0.2610,0.04079,0.16400,0.3209,1.8500,1
480,16.007,0.8414,215.26,16.95,4210.94,0.2670,0.03917,0.14806,0.3175,1.8730,1
495,16.507,0.8391,215.39,17.08,3914.81,0.2649,0.03103,0.15209,0.3194,2.0968,1
510,17.007,0.8311,215.43,17.63,2551.29,0.2456,0.04791,0.14818,0.3431,1.8500,1
525,17.507,0.7726,217.81,26.39,3667.13,0.2898,0.05760,0.27534,0.2500,1.8500,1
540,18.007,0.7895,217.05,22.04,3340.35,0.2524,0.05158,0.23415,0.2653,1.8500,0
555,18.508,0.8324,212.37,23.54,2854.40,0.2635,0.06983,0.36863,0.3555,1.8500,1
570,19.008,0.8436,215.73,17.41,3375.37,0.2575,0.07427,0.16123,0.3509,1.8500,1
585,19.508,0.8382,215.90,17.11,3507.12,0.2525,0.03862,0.13767,0.3479,1.8880,1
600,20.008,0.8433,217.33,17.06,3447.84,0.2546,0.04711,0.13133,0.3619,1.8500,1
