frame_idx,t_sec,page_found,area,fill,contact,stability,blur,text,hand,hand_text_overlap,edge_fg,bottom_hand,turn,edge_motion,raw_score,norm_score,peak_score
0,0.000,1,0.6971,0.8930,0.8641,0.5000,87.30,0.03913,0.12306,0.97741,0.39062,0.59350,0.33662,0.00000,1.25808,0.13200,0.09618
15,0.500,1,0.7495,1.0000,0.8344,0.3414,84.50,0.04230,0.24948,1.00000,0.34800,1.00000,0.41881,0.69759,-1.69641,0.00000,0.04392
30,1.000,1,0.7507,0.9969,0.8371,0.6650,85.88,0.04036,0.22537,1.00000,0.32944,1.00000,0.42322,0.39878,0.07333,0.00000,0.07968
45,1.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
60,2.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
75,2.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
90,3.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
105,3.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
120,4.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
135,4.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
150,5.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
165,5.500,1,0.8011,0.8388,1.0034,0.2439,1051.56,0.07378,0.24467,0.72164,0.22039,1.00000,0.75167,0.82981,3.41980,0.46214,0.37476
180,6.000,1,0.8075,0.8711,0.9816,0.7672,673.45,0.07332,0.20283,0.76902,0.21318,1.00000,0.71176,0.29026,5.13007,0.72333,0.56472
195,6.500,1,0.7626,0.9474,0.8871,0.4887,939.62,0.07923,0.12555,0.73345,0.18324,0.71741,0.89093,0.22852,5.90614,0.84185,0.68934
210,7.000,1,0.8145,0.9970,0.8969,0.7937,709.76,0.07628,0.19032,0.74209,0.21275,1.00000,0.85133,0.30892,5.56383,0.78958,0.66368
225,7.500,1,0.8325,0.9970,0.9108,0.5968,597.94,0.07248,0.25116,0.54804,0.24203,1.00000,0.89331,0.54000,4.56058,0.63636,0.60435
240,8.000,1,0.8265,0.9970,0.9062,0.7005,930.91,0.07254,0.25761,0.50887,0.24414,1.00000,0.91452,0.45700,5.71517,0.81269,0.65351
255,8.500,1,0.8365,0.9970,0.9139,0.9415,1105.25,0.07054,0.25210,0.46092,0.24898,1.00000,0.86931,0.31493,7.08020,1.00000,0.73488
270,9.000,1,0.7537,0.9969,0.8767,0.3143,549.15,0.06639,0.24889,0.80252,0.29126,1.00000,0.79993,0.57074,0.60732,0.03262,0.21119
285,9.500,1,0.7890,0.9911,0.8789,0.2836,617.25,0.09628,0.18627,0.88983,0.25383,0.69391,0.84178,0.60467,2.82128,0.37074,0.41115
300,10.000,1,0.7535,0.9200,0.8973,0.6540,471.84,0.08687,0.09136,0.46278,0.17488,0.58583,0.75331,0.42926,6.84932,0.98590,0.78184
315,10.500,1,0.7635,0.9357,0.8952,0.7419,694.97,0.08379,0.11088,0.46188,0.16622,0.72630,0.77561,0.46488,7.33226,1.00000,0.81102
330,11.000,1,0.8295,1.0000,0.9085,0.6529,644.81,0.08047,0.20422,0.56880,0.23934,1.00000,0.84374,0.53954,5.49825,0.77956,0.64937
345,11.500,1,0.9972,0.9972,1.0388,0.0178,1052.71,0.06847,0.39871,0.70624,0.35563,1.00000,0.70117,0.53602,3.52031,0.47749,0.42471
360,12.000,1,0.8385,0.9970,0.9155,0.0704,1007.07,0.07697,0.30639,1.00000,0.29457,1.00000,0.82709,0.44522,2.09940,0.26049,0.26333
375,12.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
390,13.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
405,13.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
420,14.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
