frame_idx,t_sec,page_found,area,fill,contact,stability,blur,text,hand,hand_text_overlap,edge_fg,bottom_hand,turn,edge_motion,raw_score,norm_score,peak_score
0,0.000,1,0.8605,0.9971,0.9326,0.5000,184.71,0.04442,0.10385,1.00000,0.24666,0.73670,0.52418,0.00000,-0.02355,0.69717,0.33182
15,0.500,1,0.8714,0.9971,0.9411,0.7754,369.42,0.05391,0.08715,1.00000,0.23726,0.46219,0.57621,0.47876,0.51975,1.00000,0.35454
30,1.000,1,0.8714,0.9971,0.9411,0.8848,550.43,0.05705,0.13421,1.00000,0.22627,1.00000,0.62866,0.35729,0.19457,0.92132,0.35667
45,1.501,1,0.9583,0.9972,1.0085,0.4643,366.60,0.05763,0.14291,1.00000,0.21730,1.00000,0.56169,0.40892,-0.00514,0.71609,0.29100
60,2.001,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
75,2.501,1,0.9972,0.9972,1.0388,0.7720,205.96,0.04944,0.30718,1.00000,0.35801,1.00000,0.43087,0.86891,0.05049,0.77326,0.15096
90,3.001,1,0.8187,0.8822,0.9825,0.0632,295.42,0.06126,0.08485,0.85645,0.24078,1.00000,0.51135,0.82908,-0.32440,0.38801,0.31072
105,3.501,1,0.8342,0.8922,0.9882,0.9374,488.60,0.06014,0.08959,0.92005,0.23785,1.00000,0.51160,0.34364,0.42895,1.00000,0.69475
120,4.002,1,0.9693,1.0000,1.0171,0.2690,401.14,0.06202,0.09805,1.00000,0.23709,0.53045,0.48839,0.09922,0.25473,0.98314,0.73873
135,4.502,1,0.9283,0.9971,0.9853,0.7603,374.37,0.06819,0.17300,1.00000,0.33280,1.00000,0.50349,0.32510,0.05742,0.78038,0.43509
150,5.002,1,0.9503,0.9972,1.0023,0.8502,483.27,0.05240,0.21635,1.00000,0.43058,1.00000,0.47420,0.41025,0.03304,0.75533,0.30269
165,5.502,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
180,6.002,1,0.8138,0.8827,0.9777,0.3375,561.63,0.06590,0.11841,1.00000,0.22949,1.00000,0.57396,0.45941,-0.41936,0.29043,0.21479
195,6.503,1,0.9713,1.0000,1.0186,0.2229,648.81,0.06323,0.13072,1.00000,0.33208,1.00000,0.55946,0.32123,-0.32231,0.39016,0.54445
210,7.003,1,0.9972,0.9972,1.0388,0.8480,692.42,0.06296,0.13130,1.00000,0.36290,1.00000,0.56458,0.09325,0.27601,1.00000,0.72250
225,7.503,1,0.9972,0.9972,1.0388,1.0000,856.32,0.06448,0.24273,1.00000,0.41931,1.00000,0.55029,0.38945,0.26626,0.99499,0.55952
240,8.003,1,0.9972,0.9972,1.0388,1.0000,794.02,0.06187,0.26798,1.00000,0.42641,1.00000,0.54718,0.50539,0.22854,0.95623,0.45261
255,8.503,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
270,9.004,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
285,9.504,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
300,10.004,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
315,10.504,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
330,11.005,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
345,11.505,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
360,12.005,1,0.8275,0.8665,1.0033,0.1540,444.32,0.05444,0.12745,1.00000,0.24198,1.00000,0.49419,0.52053,-0.56256,0.14326,0.16757
375,12.505,1,0.9573,0.9972,1.0078,0.3771,469.98,0.05064,0.13591,0.97979,0.37051,1.00000,0.48854,0.56944,-0.20526,0.51044,0.35986
390,13.005,1,0.9613,0.9972,1.0109,0.9766,472.82,0.05112,0.13925,0.94415,0.37068,1.00000,0.48776,0.15259,0.45624,1.00000,0.67454
