frame_idx,t_sec,paper_ratio,bright_mean,sat_mean,blur,edge_density,motion,skin,bottom_dark,composite,selected
0,0.000,0.8489,216.49,8.53,3618.37,0.2460,0.00000,0.23066,0.4067,2.9500,1
15,0.500,0.8518,230.02,16.94,6571.41,0.3471,0.12865,0.36122,0.1381,1.8500,1
30,1.000,0.8689,234.24,15.83,1094.46,0.2748,0.11282,0.30131,0.1452,1.8500,1
45,1.500,0.8331,224.28,27.00,994.18,0.2722,0.12932,0.55944,0.2627,1.8500,1
60,2.000,0.8666,238.57,19.43,38.30,0.1609,0.15979,0.31307,0.0257,0.9769,0
75,2.500,0.7788,226.55,31.25,2501.98,0.3014,0.13333,0.40555,0.0001,1.8500,0
90,3.000,0.9321,248.86,9.12,473.56,0.1340,0.12850,0.14278,0.0000,1.5367,0
105,3.500,0.8796,241.36,18.47,613.24,0.2500,0.06828,0.27375,0.0045,1.8500,0
120,4.000,0.8421,227.40,20.56,555.25,0.2035,0.12502,0.26204,0.2154,1.8500,1
135,4.500,0.8307,224.18,19.63,5256.04,0.2565,0.06129,0.24749,0.2633,1.8500,1
150,5.000,0.8398,226.55,18.29,5388.14,0.2450,0.06505,0.25841,0.2346,1.8500,1
165,5.500,0.7532,234.11,31.62,418.60,0.2320,0.12179,0.36852,0.1245,1.8500,1
180,6.000,0.7221,223.40,32.38,2684.64,0.2651,0.08654,0.32193,0.2231,1.8500,1
195,6.500,0.6552,203.57,38.51,665.81,0.2228,0.14752,0.48403,0.4048,1.8500,1
210,7.000,0.5930,219.55,45.42,412.66,0.2806,0.22154,0.57734,0.2249,1.8500,1
225,7.500,0.6030,213.30,39.39,202.78,0.1806,0.20537,0.43265,0.4713,1.7578,0
240,8.000,0.5779,210.61,43.25,1407.34,0.2652,0.09260,0.48168,0.4445,1.8500,1
255,8.500,0.6057,213.19,41.12,1391.93,0.2554,0.08279,0.46075,0.4126,1.8500,1
270,9.000,0.6052,211.65,40.39,1805.56,0.2578,0.06667,0.44817,0.4433,1.8500,1
285,9.500,0.6103,210.99,37.94,754.30,0.2176,0.07226,0.41920,0.4970,1.8500,1
300,10.000,0.5451,220.16,53.54,250.14,0.3011,0.19530,0.62697,0.2405,1.8384,0
315,10.500,0.6362,219.15,45.20,918.44,0.2792,0.23387,0.53496,0.1490,1.8500,1
330,11.000,0.6954,223.65,38.95,1179.76,0.2663,0.09363,0.47177,0.1551,1.8500,1
345,11.500,0.6955,220.63,38.44,2355.15,0.2884,0.07707,0.47552,0.1797,1.8500,1
360,12.000,0.6794,221.79,40.75,2224.79,0.2972,0.11516,0.46687,0.1455,1.8500,1
375,12.500,0.6590,223.76,45.19,752.76,0.2842,0.12880,0.56949,0.0948,1.8500,1
390,13.000,0.5777,215.50,52.05,1615.21,0.3413,0.16896,0.69377,0.1120,1.8500,1
405,13.500,0.6355,218.95,49.88,1275.93,0.2992,0.11434,0.70362,0.0853,1.8500,1
420,14.000,0.8058,219.70,36.16,718.60,0.2589,0.18264,0.62697,0.1700,1.8500,1
435,14.500,0.7348,230.79,27.26,118.60,0.1691,0.15145,0.26105,0.3260,1.3571,0
450,15.000,0.6440,219.51,33.69,1110.43,0.2369,0.10671,0.24622,0.4405,1.8500,1
465,15.500,0.6357,218.11,34.08,1700.21,0.2550,0.03777,0.27018,0.4654,1.9114,1
480,16.000,0.6653,220.36,31.28,546.13,0.2228,0.05537,0.25954,0.4720,1.8500,1
495,16.500,0.8544,240.26,20.94,348.48,0.2138,0.14013,0.28974,0.1360,1.8500,1
510,17.000,0.8491,232.87,20.83,1393.72,0.2081,0.11217,0.29437,0.1287,1.8500,0
525,17.500,0.8038,227.05,25.06,2614.93,0.2370,0.07827,0.34166,0.1048,1.8500,0
540,18.000,0.8198,229.41,22.37,4083.05,0.2307,0.08403,0.30391,0.1280,1.8500,1
555,18.500,0.8269,230.92,21.30,4087.11,0.2276,0.05453,0.28304,0.1237,1.8500,1
