frame_idx,t_sec,page_found,area,fill,contact,stability,blur,text,hand,hand_text_overlap,edge_fg,bottom_hand,turn,edge_motion,raw_score,norm_score,peak_score
0,0.000,1,0.8714,0.9971,0.9411,0.5000,146.97,0.06644,0.02954,0.91727,0.17769,0.28476,0.69995,0.00000,5.72014,0.79567,0.70990
15,0.500,1,0.8709,0.9612,0.9663,0.7469,337.13,0.09054,0.27231,1.00000,0.30377,1.00000,0.87927,0.95491,1.46096,0.06193,0.05202
30,1.000,1,0.8914,0.9721,0.9744,0.8660,77.06,0.05917,0.24743,1.00000,0.34158,1.00000,0.60796,0.85314,1.46119,0.06197,0.05205
45,1.500,1,0.8884,1.0000,0.9543,0.7737,63.32,0.05533,0.36194,1.00000,0.24013,1.00000,0.57267,1.00000,1.48001,0.06521,0.05478
60,2.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
75,2.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
90,3.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
105,3.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
120,4.000,1,0.8974,0.9971,0.9612,0.9474,37.29,0.02334,0.25421,1.00000,0.38855,0.97099,0.27523,0.99666,1.85799,0.13033,0.10947
135,4.500,1,0.8854,0.9971,0.9519,0.9298,687.03,0.05640,0.27275,1.00000,0.32050,1.00000,0.52524,0.48093,4.81226,0.63927,0.53698
150,5.000,1,0.8944,0.9971,0.9589,0.9474,721.83,0.05400,0.27028,1.00000,0.31825,1.00000,0.49263,0.38428,5.30461,0.72408,0.60823
165,5.500,1,0.8854,0.9971,0.9519,0.9474,29.31,0.02010,0.30842,1.00000,0.37933,1.00000,0.36516,1.00000,1.21435,0.01944,0.01633
180,6.000,1,0.8445,0.9970,0.9201,0.7603,330.60,0.04376,0.29937,1.00000,0.36748,1.00000,0.56251,0.73207,1.19249,0.01568,0.01317
195,6.500,1,0.7397,0.8785,0.9163,0.3861,45.03,0.02174,0.45343,1.00000,0.35863,1.00000,0.55591,0.86453,-3.83015,0.00000,0.00000
210,7.000,1,0.8804,0.9077,0.8488,0.0000,19.21,0.02906,0.37650,1.00000,0.27708,0.59517,0.41017,1.00000,-0.81238,0.00000,0.00000
225,7.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
240,8.000,1,0.8724,1.0000,0.7860,0.3606,202.09,0.03976,0.14095,1.00000,0.16824,0.39686,0.48836,1.00000,2.78801,0.29054,0.25257
255,8.500,1,0.8874,0.9971,0.7960,0.9136,176.26,0.04186,0.10530,0.75310,0.20402,0.23911,0.45809,0.42201,6.84961,0.99025,0.89249
270,9.000,1,0.8665,0.9971,0.7819,0.8790,259.05,0.04662,0.08647,0.71457,0.20214,0.20117,0.49175,0.34308,7.23232,1.00000,0.90854
285,9.500,1,0.8555,0.9971,0.9287,0.6869,49.85,0.03268,0.11785,0.91000,0.23255,0.47118,0.39455,0.36217,4.77707,0.63320,0.55215
300,10.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
315,10.500,1,0.8070,0.9489,0.7656,0.4763,32.64,0.03939,0.05246,0.85963,0.14184,0.85721,0.44889,1.00000,1.67116,0.09814,0.08488
330,11.000,1,0.8809,0.9788,0.8037,0.6792,82.87,0.04275,0.05271,0.38623,0.12579,0.40584,0.49239,0.51876,7.42518,1.00000,0.93261
345,11.500,1,0.8319,0.9443,0.9469,0.7633,264.45,0.05278,0.08363,0.59412,0.12460,0.44958,0.61135,0.27618,6.98158,1.00000,0.90920
360,12.000,1,0.8482,0.9280,0.8122,0.6109,250.29,0.05358,0.05696,0.41417,0.14137,0.26176,0.60483,0.53602,6.59963,0.94718,0.88760
375,12.500,1,0.9084,1.0000,0.8101,0.6821,43.73,0.03890,0.31567,1.00000,0.22653,1.00000,0.41790,0.74276,1.80167,0.12062,0.10132
390,13.000,1,0.9693,0.9972,1.0171,0.2196,209.93,0.05643,0.45396,1.00000,0.30484,1.00000,0.49398,1.00000,1.16199,0.01042,0.00876
405,13.500,1,0.9972,0.9972,1.0388,0.8363,90.50,0.04823,0.46736,1.00000,0.34120,1.00000,0.38901,0.71654,2.20774,0.19058,0.16009
420,14.000,1,0.9104,0.9971,0.9713,0.4914,45.53,0.03560,0.41115,1.00000,0.21712,1.00000,0.48625,1.00000,0.85947,0.00000,0.00000
435,14.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
450,15.000,1,0.8904,0.9971,0.7980,0.5247,89.04,0.03480,0.12139,0.61534,0.17538,0.45981,0.47748,1.00000,5.06079,0.68208,0.61455
465,15.500,1,0.8824,0.9971,0.7927,0.9539,220.86,0.04183,0.13300,0.84747,0.18953,0.45841,0.58440,0.18738,5.51790,0.76083,0.66873
480,16.000,1,0.8844,0.9971,0.7940,0.9885,38.80,0.02847,0.10891,0.58742,0.21596,0.46728,0.41447,0.28224,6.88740,0.99676,0.89926
495,16.500,1,0.8490,0.9381,0.9651,0.4891,35.74,0.02639,0.12609,0.24915,0.23704,1.00000,0.36635,1.00000,4.19021,0.53210,0.47868
510,17.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
525,17.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
540,18.000,1,0.7682,0.9614,0.8795,0.4344,614.82,0.04033,0.12456,1.00000,0.22913,1.00000,0.54286,1.00000,1.67428,0.09868,0.08289
555,18.500,1,0.7868,0.9666,0.8942,0.8615,592.25,0.04059,0.12610,1.00000,0.20670,1.00000,0.53376,0.29334,4.06602,0.51071,0.42899
